Folder;diagnostics_Versions_PyRadiomics;original_shape_Elongation;original_shape_Flatness;original_shape_LeastAxisLength;original_shape_MajorAxisLength;original_shape_Maximum2DDiameterColumn;original_shape_Maximum2DDiameterRow;original_shape_Maximum2DDiameterSlice;original_shape_Maximum3DDiameter;original_shape_MeshVolume;original_shape_MinorAxisLength;original_shape_Sphericity;original_shape_SurfaceArea;original_shape_SurfaceVolumeRatio;original_shape_VoxelVolume;original_firstorder_10Percentile;original_firstorder_90Percentile;original_firstorder_Energy;original_firstorder_Entropy;original_firstorder_InterquartileRange;original_firstorder_Kurtosis;original_firstorder_Maximum;original_firstorder_MeanAbsoluteDeviation;original_firstorder_Mean;original_firstorder_Median;original_firstorder_Minimum;original_firstorder_Range;original_firstorder_RobustMeanAbsoluteDeviation;original_firstorder_RootMeanSquared;original_firstorder_Skewness;original_firstorder_TotalEnergy;original_firstorder_Uniformity;original_firstorder_Variance;original_glcm_Autocorrelation;original_glcm_JointAverage;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_Imc1;original_glcm_Imc2;original_glcm_Idm;original_glcm_Idmn;original_glcm_Id;original_glcm_Idn;original_glcm_InverseVariance;original_glcm_MaximumProbability;original_glcm_SumEntropy;original_glcm_SumSquares;original_glrlm_GrayLevelNonUniformity;original_glrlm_GrayLevelNonUniformityNormalized;original_glrlm_GrayLevelVariance;original_glrlm_HighGrayLevelRunEmphasis;original_glrlm_LongRunEmphasis;original_glrlm_LongRunHighGrayLevelEmphasis;original_glrlm_LongRunLowGrayLevelEmphasis;original_glrlm_LowGrayLevelRunEmphasis;original_glrlm_RunEntropy;original_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformityNormalized;original_glrlm_RunPercentage;original_glrlm_RunVariance;original_glrlm_ShortRunEmphasis;original_glrlm_ShortRunHighGrayLevelEmphasis;original_glrlm_ShortRunLowGrayLevelEmphasis;original_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformityNormalized;original_glszm_GrayLevelVariance;original_glszm_HighGrayLevelZoneEmphasis;original_glszm_LargeAreaEmphasis;original_glszm_LargeAreaHighGrayLevelEmphasis;original_glszm_LargeAreaLowGrayLevelEmphasis;original_glszm_LowGrayLevelZoneEmphasis;original_glszm_SizeZoneNonUniformity;original_glszm_SizeZoneNonUniformityNormalized;original_glszm_SmallAreaEmphasis;original_glszm_SmallAreaHighGrayLevelEmphasis;original_glszm_SmallAreaLowGrayLevelEmphasis;original_glszm_ZoneEntropy;original_glszm_ZonePercentage;original_glszm_ZoneVariance;original_gldm_DependenceEntropy;original_gldm_DependenceNonUniformity;original_gldm_DependenceNonUniformityNormalized;original_gldm_DependenceVariance;original_gldm_GrayLevelNonUniformity;original_gldm_GrayLevelVariance;original_gldm_HighGrayLevelEmphasis;original_gldm_LargeDependenceEmphasis;original_gldm_LargeDependenceHighGrayLevelEmphasis;original_gldm_LargeDependenceLowGrayLevelEmphasis;original_gldm_LowGrayLevelEmphasis;original_gldm_SmallDependenceEmphasis;original_gldm_SmallDependenceHighGrayLevelEmphasis;original_gldm_SmallDependenceLowGrayLevelEmphasis
dicom_data/1;v3.0.1;0.6202879702528352;0.0;0.0;194.95480661249746;155.992;202.31599999999997;249.55880948586045;249.55880948586045;8306.078939993384;120.92812128470008;0.10620311215368046;18675.729885573037;2.2484411742886605;8379.681856;26838.0;35688.0;381510181897182.0;8.973071708153643;4817.0;18.858436295822138;65280.0;2796.598413103933;31357.073744523794;31207.0;24774.0;40506.0;1979.886237306699;31579.192214118164;2.0243858199208273;8356599024275.873;0.0022829341343509517;13979307.076717934;92111.89764253655;266.8180187591355;140617574708.77966;50988507.39333826;85462.06655518679;1783.5992900130345;0.9590215266860032;27.655935844505947;6.2037207203066185;995.3669670014231;2.9423820368806496e-05;15.81805678378049;-0.2346623667200374;0.9916974898476563;0.049125425045591684;0.9993631207443272;0.10310294324593407;0.9835511688651425;0.04555067289157689;0.002103218267994525;10.016193020601097;21811.416461300003;856.2644419884567;0.0022825151891528194;18498.39484320383;87330.29576352297;1.0947582046041138;198236.98436813947;0.000713203208510127;0.0006817428172412875;9.097693407330162;362323.5938281071;0.9657900211997728;0.9805967106157402;0.05471649795875668;0.9868127527902675;85678.10949377343;0.000674101719234146;808.3019235848474;0.0022711617474243952;17719.762777952612;86931.15396546201;2.6892761409167796;3928264.5159961563;0.0008234328832168242;0.000686705833472614;312745.7966776998;0.8787512059008474;0.9507316266775726;83089.43330955115;0.000656706386629388;9.347216038988092;0.9302966301063351;1.5338103172793807;9.563479010569425;295074.31584257795;0.7713070645501876;0.2611328836629711;873.3684141738376;22368.982162996894;92488.94247759852;1.5956807227026066;536956.3087274287;0.000931265544981118;0.000678646658955546;0.900747023316158;78694.12540602277;0.0006206958570389426
dicom_data/4;v3.0.1;0.45076149844709235;0.0;0.0;183.15651795143245;92.056;170.94;191.52469509700308;191.52469509700308;6277.085865334379;82.55990648213947;0.11736915251998521;14020.673266600641;2.233627764123912;6328.700815999999;28817.0;45982.0;422789100253372.0;10.01852073490539;8418.0;2.755286254005257;58997.0;5086.547251472938;37716.55529213059;37741.0;18869.0;40128.0;3556.410379092843;38253.072535528045;0.03929274100150601;9260772451949.86;0.0011114385916615303;40759015.30402601;637285.9119980917;758.9930882260003;176225644209.32843;4093212.3107196335;251055.83880441455;6201.467999172237;0.9517322934555246;57.24389893096359;7.255454917726556;2857.784151218346;6.466982044408813e-06;17.563144775414965;-0.24527218157682518;0.9961627635039414;0.020018603867773245;0.9976295899977666;0.054590684926587404;0.9665421601488796;0.021022808213722242;3.244329028046107e-05;10.984039705358045;64314.32670089444;319.2611158732778;0.0011119345481918719;65148.270305774335;635570.9010548128;1.0189848155708536;647469.45032293;9.681820703309026e-06;9.605993474243515e-06;10.068719261294888;283561.3904244175;0.9875964955738656;0.9937467336266003;0.006357501813061153;0.9953118511617638;632633.9658195295;9.587203966038473e-06;313.73781046145984;0.0011135009847509558;64942.767984949925;635730.8637270281;1.078397064147247;684844.3686354957;1.0024903042617922e-05;9.712481666714693e-06;268293.0123652212;0.9522108063132945;0.9815142782103791;624129.3697163829;9.637801323991316e-06;10.180818921922796;0.975180753749191;0.026847477128447473;10.296190319473343;262130.44699216762;0.9072486562171593;0.05025775295214757;321.1268408501743;65214.50290341309;635514.8888204369;1.1528126287080909;731185.5285900688;1.0179580891895905e-05;9.5709347455166e-06;0.9633032442418572;612497.9579469927;9.423317269411616e-06
dicom_data/5;v3.0.1;0.5177856412241173;0.0;0.0;188.30262002812458;113.22;192.10399999999998;216.7257747477212;216.7257747477212;7193.748186660519;97.5003928554438;0.11301670286588461;15945.75103479907;2.216612344642189;7248.625007999999;28038.0;36120.0;346500501522389.0;8.838882547987874;4177.0;22.263134650967434;65280.0;2506.8826213252405;32176.7081229395;32007.0;26070.0;39210.0;1736.743928523865;32358.31009779022;2.293515444650612;7589746985346.407;0.002554581265969603;11719686.755911715;78922.10515341036;247.50092663161422;119332513028.78995;45227739.115145035;72226.02499662421;1566.1099395310146;0.9574929380375002;25.544999025979205;6.0981536227855475;894.2001272440443;3.506007378362283e-05;15.561277354690887;-0.2377360096124274;0.9916852334784706;0.055240767018488804;0.9994012212291165;0.11255706667276365;0.984296472648188;0.05186989142404219;0.002000104323083742;9.883896451064267;18448.033734039218;827.548963191109;0.002555609323652342;15225.473238269198;74509.5591154237;1.1054649888549173;187015.99589378518;0.0006404036032801566;0.0006040462644380874;8.974903697609118;311436.2972988347;0.9617305024149115;0.9785141436026676;0.061002309389961124;0.9852324483234043;73109.75406501736;0.0005952491318386354;776.8894901662758;0.0025448757523233918;14568.282396347327;74446.27268111479;2.9808337373393257;4306269.588572308;0.0007691571428641131;0.0006050853729288102;264526.5745096241;0.8665161182327601;0.9452898873263821;70956.61715525638;0.0005736625423413591;9.243682182911721;0.9224874368063047;1.805722229247915;9.474342521530662;248308.11033551206;0.7503410429959237;0.27730808344817903;845.3799146035228;18753.30910605251;79066.37250813624;1.6506268754136109;481734.92594741436;0.0009083864291072084;0.0006027348986390147;0.8900600483872669;66721.75864454875;0.0005397338750516694
dicom_data/6;v3.0.1;0.5794780711341663;0.0;0.0;189.75854182397566;136.456;192.696;218.74645330153353;218.74645330153353;7850.824378666487;109.96091379738944;0.10984003419208285;17391.36380199619;2.215227721722419;7909.008703999999;25830.0;35272.0;339609822557511.0;9.050567707598763;5104.0;15.999359146579648;65280.0;2954.7308324815253;30418.853429748862;30119.0;23589.0;41691.0;2082.7874020339646;30668.378185077156;1.7974617162383486;7438813553299.72;0.002176266321960905;15242776.522372192;99642.35474466199;276.45864100297894;145518420790.09534;52955082.28628272;94495.00374714297;1644.6111894361413;0.9657547540995712;26.932962975192687;6.17851838738325;903.2397873505455;2.887672774470991e-05;15.854822558733371;-0.24676664468853193;0.9938124073671517;0.050904275892719585;0.9994275241735714;0.1060877950511026;0.9844021551197842;0.04758244809748751;0.0020136692032472793;10.100420452882021;24034.903734144813;770.017211267162;0.002175817240880521;20485.987068312035;94468.19645389677;1.1014933315552122;226086.21463636679;0.0006730792529396726;0.0006412093327515587;9.17790802395642;341412.6205954236;0.9647018841390036;0.9801205286421695;0.06048413426943708;0.9864151043867009;92856.25901445711;0.0006334169329018267;725.6760585226172;0.002164549547426935;19877.74903684872;94509.43410836527;3.0974452282590863;5275639.677320248;0.0007864962081477935;0.0006456345428414236;293635.46186335775;0.875857069583922;0.9494321814101538;90327.66151573625;0.0006170653124483772;9.431051582156787;0.9284887392127973;1.9374753330275671;9.650389075864995;276704.8018921224;0.7663339626342444;0.2643087047989441;785.7975384683557;24390.058332150038;99615.66736088801;1.6076726229381073;559381.5326080936;0.0009040898267173422;0.0006387616037865474;0.8982420659698903;85354.3867243104;0.0005821996521956468
dicom_data/7;v3.0.1;0.44066799109897253;0.0;0.0;192.73771079849595;95.46;183.076;211.6215768205123;211.6215768205123;6855.880811999112;84.93333982658795;0.11559097992405495;15098.56541497815;2.2022794486964754;6905.192191999999;26726.0;34952.0;305161093095717.0;8.848652530724898;4083.0;24.284096880408164;65280.0;2531.420079408442;30914.737574861698;30647.0;24710.0;40570.0;1723.007543020558;31112.750833066217;2.5187445947537825;6684248583168.584;0.002564236069998973;12282265.077896865;81595.155016205;250.73015796497572;143391329986.02832;53408132.11710566;76351.33607460647;1434.7448103093116;0.9630759741526882;23.477586951636134;5.972538264317437;866.912478805022;3.857580469453199e-05;15.441669420487994;-0.25362832790545;0.9937679686992534;0.060094470212162125;0.9994913925624349;0.11994926191678014;0.9860222175175186;0.05654734876650587;0.0020882695742337966;9.897079690408486;19446.520221228995;789.2595415498338;0.002563753938009714;15678.125362007362;76621.57702904109;1.115216833556354;206736.89791136186;0.0003157987215934385;0.00028902430544224623;8.995662271234385;294982.8747155616;0.9581484386990167;0.9765438638785973;0.0665215767296869;0.983815123432437;75061.65232209272;0.0002825642645716737;735.5109828031967;0.0025490603891398715;14925.554728082265;76586.73607308468;3.101711362643913;4843929.895124453;0.00040239765819000833;0.0002812940975765643;246847.05927733224;0.8554978452957706;0.9403238798903449;72733.4572974661;0.00025696217622361264;9.283999192319454;0.9152857432878242;1.9080349710447335;9.523672530351009;230722.66345861036;0.7318766921871364;0.29822054538908527;808.3702925950363;19653.46360855177;81708.43661815459;1.7087309039232603;532040.4825565903;0.0005092726607973814;0.00029081039197238724;0.8803621802379318;67971.67281943008;0.00024328314545770475
dicom_data/8;v3.0.1;0.4799580058065177;0.0;0.0;211.00601423044725;120.768;212.38;242.80246891660715;242.80246891660715;8885.61862266627;101.27402580322716;0.10684309631824872;19417.624800481895;2.185286767873381;8943.534623999998;26726.0;35506.0;396660783435672.0;9.024942135857177;4421.0;21.36063964206136;65280.0;2744.1308525425734;30936.51981112205;30507.0;24434.0;40846.0;1852.9043736934275;31168.560973255633;2.438191599427664;8688457800374.958;0.002193250245215726;14410935.119606974;90984.1570241586;262.6081516266369;171347104987.99866;64973073.46161896;89418.55229140748;1335.2515009588733;0.9705378894486899;21.765591813324843;5.862170351355134;846.6842876337996;3.5501378942833626e-05;15.619340330931806;-0.2679497623107163;0.9955500191079678;0.06436221911588143;0.9995462940429802;0.12688793352754782;0.9871158819532825;0.0642587905810503;0.0024671881998199487;10.005819328694397;22688.450948091533;875.9672330700496;0.002196248710266966;18373.696120653854;85059.3391638167;1.121018664311277;237769.4486644683;0.0007517345922290525;0.0006978690598409046;9.168569394520588;382612.72691645386;0.9592610951629192;0.976836612736526;0.0729710076480585;0.9842547912938175;83281.71364003803;0.0006854726456768174;822.6618100248351;0.0021968697359597165;17459.084818201354;84872.02440248885;3.500280396293428;6011295.253376773;0.0009269811290280953;0.000689879262989492;321323.3799930569;0.8580750927792796;0.9415472842341467;80726.31950755438;0.000641776384583739;9.44867702927275;0.9171307793664556;2.3114019260929486;9.69513281984385;300684.7286299981;0.7364200590488459;0.3107309085415553;895.5172346230523;23059.596221387597;91170.55050868711;1.7156838253662694;624245.2197763443;0.0011278822184991905;0.0006985983494550242;0.8827522643437301;75560.2790703577;0.0006046101164550147
dicom_data/9;v3.0.1;0.54349669810784;0.0;0.0;167.65025234645464;109.964;161.912;186.94673179277567;186.94673179277567;5961.328753334637;91.11735858724425;0.12006829538436932;13241.926146573282;2.2213044598766736;6007.347231999999;26086.0;35202.0;262039056966623.0;9.02338956514685;4088.0;17.75623057029704;65280.0;2680.114427869031;30690.75539455549;30383.0;24011.0;41269.0;1779.5996459965625;30910.310068140185;1.9469753339529956;5739703503796.909;0.002241334593713125;13524801.820131568;93540.93710816973;270.0677522999034;125619017613.61136;47182855.046458155;83957.51743886244;1541.8064680027833;0.9638955808548866;23.20149481411429;5.947404183412945;986.8032170199762;3.277314775351523e-05;15.614722515991133;-0.268178070107498;0.9956381617749415;0.05960457476114571;0.9994833748871135;0.12087232788526221;0.9864423568096374;0.06038714030021391;0.001780696931957689;10.000952243234542;21374.830976716567;602.8265970082866;0.0022446700071433448;18272.23923179769;89219.90876440874;1.093567351856406;186765.56642322874;0.00026271222958263905;0.00024727591313971335;9.156345780353005;258484.63010116314;0.9624626731966656;0.9792230308687441;0.05064253208079265;0.9855349946936358;87638.28442043855;0.00024351170362086353;568.5862890877808;0.002243793661851355;17755.0165573117;89575.43556928857;2.4124402140455556;3249368.6585452477;0.00031398894009450844;0.00024733319922001014;219628.74968824486;0.8667138233344575;0.9454639728060501;85567.66102216285;0.0002338832443407474;9.422156886375339;0.923962108671397;1.2410767405958407;9.651971430623496;206517.68140218334;0.7530051316723062;0.2546904326636252;614.7039430025742;21641.33130843645;93546.22957215468;1.6147496153257153;489639.50736897375;0.00037688566930672846;0.0002471141863222607;0.8915132825388123;80469.28934689931;0.00022036720251958851
dicom_data/10;v3.0.1;0.4779079438373728;0.0;0.0;207.03944683410697;119.43599999999999;208.82799999999997;219.97405843417081;219.97405843417081;8882.252707990061;98.94579632971512;0.107283465180416;19333.036998069503;2.1765916410685326;8937.489119999998;28663.0;37032.0;437304026778095.0;8.932727404823048;4353.0;19.398320843470906;65280.0;2715.152339412943;32523.51500379874;31959.0;25734.0;39546.0;1815.5989584267024;32737.513501797283;2.320630856012341;9578707402547.39;0.00251646301134579;13965762.078037508;96294.35441317524;274.15805328486357;145475900166.081;59048480.51524277;86175.33665597696;1649.8708438360718;0.962383529107701;25.012211589481446;6.062719869604612;1008.3907890234735;3.832543176471907e-05;15.645644694351029;-0.24634584764573547;0.993276809204251;0.055677995356026626;0.9993936521228921;0.11330539570638282;0.9847688013391087;0.0517698702278296;0.0025530384685823167;9.978187669042617;21956.30187495348;1001.8488333209269;0.0025106447847776654;18003.433145596216;90670.16232985003;1.1151291367785507;230386.88749141077;0.000575822727078639;0.0005467609206562101;9.072336918610834;383671.419487426;0.9614544720747262;0.9779666936254687;0.06950391018674829;0.9851173139319838;88835.22004739947;0.0005400511389288198;933.1628341079994;0.002481314505865834;17344.053550216617;90462.22619895979;3.396845318499452;5440924.438496474;0.0006791545117868161;0.0005514185320590275;325464.96467735246;0.8654233843088962;0.9448346641380041;86084.59700726465;0.0005254659273350138;9.3481857466201;0.921687130848222;2.219692212976048;9.57303341249827;305358.41386662744;0.7483724575806373;0.30580732865585303;1026.7924025194227;22347.58323639771;96582.0564713379;1.689410092395167;614679.8832536823;0.000776155237742989;0.0005438471149890113;0.8889977887927014;80916.25925535864;0.0004929658526903425
dicom_data/11;v3.0.1;0.8252258549364947;0.0;0.0;243.22388677289385;169.75599999999997;201.42799999999997;264.47252152161286;264.47252152161286;25104.707397908565;200.71463990313853;0.07883333854875775;52594.98246842254;2.095024715277269;25190.410447999995;21365.0;31511.0;726687221905850.0;8.46295462852672;5961.0;8.071659295509955;65280.0;3548.296062689277;24765.641357625886;22565.0;14391.0;50889.0;2586.271950671208;25137.25525964057;1.6078869600902979;15917356908625.736;0.005084946402343947;18544610.13377764;202987.07341990864;416.59924028086766;110081214987.94312;64651142.606031574;118322.75523754867;594.233414083439;0.9900074466350938;11.297637576245767;4.8638743779893385;463.64673693728895;0.00018862596233221776;13.9531353028217;-0.3497967395671337;0.9985613510809954;0.12129761096715252;0.9998700345924518;0.20384683582612373;0.9945748521804266;0.1256713989403141;0.0008030104074973791;9.434720708998745;29729.2471629082;5493.9573782615025;0.0049894301604301045;28599.502292385965;203037.51721434697;1.1492379317079644;276373.7781203597;1.0674196663666578e-05;9.364448541766714e-06;8.740200817044663;1012971.5832704208;0.9199008718301156;0.9574594121754344;0.05830592074415444;0.9683960403971992;198212.45049375785;9.062951603990642e-06;4532.93878200426;0.004683184713998769;29601.591259760866;210408.34863490504;2.2098659183939136;2525724.059122777;1.597450009565492e-05;9.341882451915854e-06;719062.9108622838;0.7428965169180486;0.8856785588798706;193133.27546163532;8.263176666332278e-06;9.274211499527667;0.8416407472107419;0.7981526600570646;9.497146992199964;657973.3977193778;0.5721323728883312;0.3779719052078815;5847.876505712425;29672.049955928138;202849.36133011372;2.174442213598345;542844.1308062263;2.0271380346587744e-05;9.368096262382792e-06;0.7817393193250658;167985.2915165252;7.299565872338302e-06
dicom_data/12;v3.0.1;0.4933876796903896;0.0;0.0;166.91458732639086;97.088;161.912;202.91145438343295;202.91145438343295;5608.679829334028;82.35360094744689;0.12143401523967899;12571.416118076922;2.2414216002002822;5656.116591999999;26246.0;34616.0;242612036475793.0;8.858644795736259;4033.0;22.841693086733375;65280.0;2548.5204913785915;30444.222571188468;30215.0;24438.0;40842.0;1703.0566705106849;30651.992488083295;2.4780306127467355;5314174046965.769;0.0025868853829327187;12693955.525453452;78413.72655939535;242.88557281445713;141706183426.08887;54308045.364184275;78962.07098087756;1281.9064582975493;0.9680112295426495;21.735560064025627;5.863735849320614;795.9990058543455;4.2384969539562464e-05;15.308830238916595;-0.2711938679628665;0.9955247414663027;0.06447989864074186;0.9995577837278145;0.1270310736543942;0.98712487261467;0.060889707173553444;0.0019425427397600867;9.911919936178197;20060.994359793956;650.1146953792004;0.0025819621424298736;16578.2045239686;73837.1503326754;1.110262425313927;179056.7445797619;0.00027550884824515114;0.00024743598819552704;9.01618810651314;240468.2482342152;0.9549879095808984;0.9750893607463316;0.05843375846893071;0.9825666976824152;72214.2077944025;0.0002406481996841403;599.800725733293;0.002554550210323356;15970.381473797825;74036.19557745627;2.6332747011248014;3589308.0691874255;0.00036177064055849294;0.00023688632973709202;198317.0813383476;0.8446320921406474;0.9354387525860921;70074.51059888036;0.0002105147945397795;9.326078226633031;0.9092799634424509;1.4237778068645233;9.566329373468479;184847.85905593226;0.7158458350183069;0.29933347545358013;667.9933042370354;20311.955226271588;78531.3977569775;1.7376182601859633;500364.362094004;0.0004776344819076419;0.00025025108146174707;0.8717350624132705;65121.339705472405;0.00019982515673990162
