Folder;diagnostics_Versions_PyRadiomics;diagnostics_Versions_Numpy;diagnostics_Versions_SimpleITK;diagnostics_Versions_PyWavelet;diagnostics_Versions_Python;diagnostics_Configuration_Settings;diagnostics_Configuration_EnabledImageTypes;diagnostics_Image-original_Hash;diagnostics_Image-original_Dimensionality;diagnostics_Image-original_Spacing;diagnostics_Image-original_Size;diagnostics_Image-original_Mean;diagnostics_Image-original_Minimum;diagnostics_Image-original_Maximum;diagnostics_Mask-original_Hash;diagnostics_Mask-original_Spacing;diagnostics_Mask-original_Size;diagnostics_Mask-original_BoundingBox;diagnostics_Mask-original_VoxelNum;diagnostics_Mask-original_VolumeNum;diagnostics_Mask-original_CenterOfMassIndex;diagnostics_Mask-original_CenterOfMass;original_shape_Elongation;original_shape_Flatness;original_shape_LeastAxisLength;original_shape_MajorAxisLength;original_shape_Maximum2DDiameterColumn;original_shape_Maximum2DDiameterRow;original_shape_Maximum2DDiameterSlice;original_shape_Maximum3DDiameter;original_shape_MeshVolume;original_shape_MinorAxisLength;original_shape_Sphericity;original_shape_SurfaceArea;original_shape_SurfaceVolumeRatio;original_shape_VoxelVolume;original_firstorder_10Percentile;original_firstorder_90Percentile;original_firstorder_Energy;original_firstorder_Entropy;original_firstorder_InterquartileRange;original_firstorder_Kurtosis;original_firstorder_Maximum;original_firstorder_MeanAbsoluteDeviation;original_firstorder_Mean;original_firstorder_Median;original_firstorder_Minimum;original_firstorder_Range;original_firstorder_RobustMeanAbsoluteDeviation;original_firstorder_RootMeanSquared;original_firstorder_Skewness;original_firstorder_TotalEnergy;original_firstorder_Uniformity;original_firstorder_Variance;original_glcm_Autocorrelation;original_glcm_JointAverage;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_Imc1;original_glcm_Imc2;original_glcm_Idm;original_glcm_Idmn;original_glcm_Id;original_glcm_Idn;original_glcm_InverseVariance;original_glcm_MaximumProbability;original_glcm_SumEntropy;original_glcm_SumSquares;original_glrlm_GrayLevelNonUniformity;original_glrlm_GrayLevelNonUniformityNormalized;original_glrlm_GrayLevelVariance;original_glrlm_HighGrayLevelRunEmphasis;original_glrlm_LongRunEmphasis;original_glrlm_LongRunHighGrayLevelEmphasis;original_glrlm_LongRunLowGrayLevelEmphasis;original_glrlm_LowGrayLevelRunEmphasis;original_glrlm_RunEntropy;original_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformityNormalized;original_glrlm_RunPercentage;original_glrlm_RunVariance;original_glrlm_ShortRunEmphasis;original_glrlm_ShortRunHighGrayLevelEmphasis;original_glrlm_ShortRunLowGrayLevelEmphasis;original_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformityNormalized;original_glszm_GrayLevelVariance;original_glszm_HighGrayLevelZoneEmphasis;original_glszm_LargeAreaEmphasis;original_glszm_LargeAreaHighGrayLevelEmphasis;original_glszm_LargeAreaLowGrayLevelEmphasis;original_glszm_LowGrayLevelZoneEmphasis;original_glszm_SizeZoneNonUniformity;original_glszm_SizeZoneNonUniformityNormalized;original_glszm_SmallAreaEmphasis;original_glszm_SmallAreaHighGrayLevelEmphasis;original_glszm_SmallAreaLowGrayLevelEmphasis;original_glszm_ZoneEntropy;original_glszm_ZonePercentage;original_glszm_ZoneVariance;original_gldm_DependenceEntropy;original_gldm_DependenceNonUniformity;original_gldm_DependenceNonUniformityNormalized;original_gldm_DependenceVariance;original_gldm_GrayLevelNonUniformity;original_gldm_GrayLevelVariance;original_gldm_HighGrayLevelEmphasis;original_gldm_LargeDependenceEmphasis;original_gldm_LargeDependenceHighGrayLevelEmphasis;original_gldm_LargeDependenceLowGrayLevelEmphasis;original_gldm_LowGrayLevelEmphasis;original_gldm_SmallDependenceEmphasis;original_gldm_SmallDependenceHighGrayLevelEmphasis;original_gldm_SmallDependenceLowGrayLevelEmphasis
dicom_data/494;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};8481128d3d18f13a41bedbef924b727fa1f85ece;3D;(0.143, 0.143, 1.0);(1508, 1508, 1);1453.74709682753;0.0;4095.0;ecb50a43aee3f64b0dfd8928a68314cbc59751fc;(0.143, 0.143, 1.0);(1508, 1508, 1);(174, 96, 0, 1160, 1412, 1);444530;14;(788.5608777810271, 745.2192630418645, 0.0);(112.76420552268686, 106.56635461498661, 0.0);0.7178565969894356;0.0;0.0;198.98194811833977;165.88;201.916;252.74638146766807;252.74638146766807;8977.547245330645;142.8405041385598;0.09644376523200236;21659.50032915336;2.4126300577720476;9090.193969999998;1826.0;2513.0;2122508535010.0;5.277410873428417;475.0;7.000288189816995;4095.0;229.44479650783322;2167.349987627382;2181.0;0.0;4095.0;179.19056409016275;2185.1144293140987;0.08037590157097232;43403177032.41948;0.02867464615203161;77319.10032826787;7740.157697226073;87.32246901769544;1118901.5654506653;3052.775697436835;471.3146556046013;11.538867662612457;0.9520313666550013;1.661627878845498;2.350374961047921;8.740771283746557;0.004611078104826518;8.289853875461397;-0.4295184783151875;0.9943931171773637;0.4576049231999224;0.9996419258092152;0.5153976206044394;0.9901957696554261;0.42638704534778926;0.016450856636583217;6.25380423990666;120.71338081680342;9830.735056488727;0.02822742327523142;115.98360051814629;7833.247520679367;2.0978273332473965;15760.16262256716;0.05786525739275153;0.0008827670975648062;6.224378752141398;228162.8327957436;0.6542581914290134;0.7834684948147481;0.46460558260511087;0.8362346784935448;6619.10051653022;0.0008550887298367755;4771.158424607139;0.02854058673219122;99.24596515997655;8194.938494116803;62.73612049936891;389042.461647056;0.4797092148077399;0.0001821965511568499;56188.07540183405;0.33611137937700947;0.5981068689278115;4962.218356669699;9.506415612563206e-05;7.547519736432515;0.3760623579960857;55.66512972987735;7.569583709637879;95447.47891930804;0.2147154948356872;1.9109533720587415;12746.740453962611;123.67459143129638;7729.875783411693;9.376154590241379;68686.62960430117;0.008173813154485765;0.0009133851613826632;0.3138439713609807;2554.2682979600813;0.0001365950154864905
dicom_data/495;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};4666559d326dc7d6715d195f76695583468b82e2;3D;(0.148, 0.148, 1.0);(1054, 1499, 1);23661.063445206357;16.0;65280.0;72e5eab5694bbd1fe114d9730b5dbad79a2185db;(0.148, 0.148, 1.0);(1054, 1499, 1);(106, 54, 0, 906, 1445, 1);372820;5;(580.0398342363607, 871.4286760366933, 0.0);(85.84589546698137, 128.97144405343062, 0.0);0.4971279563050122;0.0;0.0;205.3896110598501;117.068;207.052;233.2228311293729;233.2228311293729;8101.765729326431;102.10491759246462;0.10809859754893698;18046.120470680697;2.2274305470668088;8166.249279999999;26726.0;35688.0;368626644641264.0;9.006195916107389;4641.0;19.76461536088196;65280.0;2820.002483004876;31204.936827423422;30951.0;24150.0;41130.0;1928.0594439588226;31444.432457965795;2.210333738694237;8074398024222.245;0.0022906989976407195;15004250.200086262;103752.58299735957;284.7446947928888;172327568995.74207;62604204.3280104;92357.76243694342;1667.2760928861685;0.9644803694432713;26.977416201538155;6.175089794082549;920.7430059345462;3.1987654885629704e-05;15.819700151770697;-0.24176759348920174;0.9929617791867268;0.050475264099528336;0.9994151073141512;0.10520309920849286;0.9841633875117721;0.04688571586099859;0.002541351578979682;10.053975581563227;23506.259632457335;836.7317923982295;0.0022899407884974096;19291.991324104063;97526.66078485358;1.1083923959807056;247820.8764611548;0.000887633804483075;0.0008372266324149768;9.131448965025225;352817.8714350072;0.9655517617894832;0.9800835523845288;0.06728616684972144;0.9867206463583343;95659.34826045635;0.0008257851911817628;789.621618970124;0.0022784162871433552;18425.21110637871;97093.74348897468;3.3548530438646607;5851849.829593786;0.0010612173471345229;0.0008331245246214458;304400.46220344753;0.8783333108367455;0.950551732929151;92807.05038713713;0.0007895945538396009;9.380383199567865;0.9295799581567512;2.1976048901529603;9.597583839647577;287007.2906067271;0.769828041968583;0.2876760512578891;854.0184003004131;24009.001776112887;103937.57181213454;1.6317257657850974;655803.6426237862;0.0012379257671275043;0.0008363205710086561;0.8999477956617213;87840.0238758289;0.0007488870468104837
dicom_data/496;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};d26761f4e66a553605d91ffc0bdb3a6948d05120;3D;(0.143, 0.143, 1.0);(1206, 1206, 1);1563.5106769909435;0.0;4095.0;b3715615425aa5d1b0a6f0653c7f5a039c5827e2;(0.143, 0.143, 1.0);(1206, 1206, 1);(155, 0, 0, 897, 1206, 1);323381;20;(649.5751172765252, 594.2319091103064, 0.0);(92.88924177054311, 84.97516300277381, 0.0);0.869441549613096;0.0;0.0;164.49561418923102;128.27100000000002;172.458;214.84540057445957;214.84540057445957;6518.324944100076;143.01932170524302;0.10460326265704241;16132.297840273624;2.4749146412032483;6612.818068999998;1992.0;2592.0;1653995208141.0;4.904770837766494;408.0;7.629968516678863;4095.0;209.8011475764668;2248.1022972901933;2167.0;0.0;4095.0;167.39479042295758;2261.5691621716564;0.5369753313543068;33822548011.2753;0.04112512525431423;60731.1362043637;8285.55653524587;90.50748375794282;1016380.9659807897;3891.5255597024143;382.52748333714055;6.719988070390304;0.9654690242511335;1.506619843082873;2.2403173687784737;4.427899888881119;0.007628480708078946;7.792695857362985;-0.41455579775070417;0.991247681888737;0.47336710127329307;0.9997743976103279;0.5284568774009991;0.9910235688932387;0.43903867255059503;0.029266209309757117;5.862963510052126;97.31186785188262;9629.377655733215;0.0384261382250153;92.25042137968636;8366.824645151635;2.089911900857534;17155.098177839165;0.0063242510934225175;0.00022442422759663805;5.925574357350962;160806.95015801402;0.640987986473992;0.7749558570231398;0.4214937797828231;0.8283602376663171;6991.177633351314;0.00011494410804793523;3701.799366762002;0.03237734833129544;92.5423726498746;8704.290817174395;39.52569249473031;297072.1902600299;0.17697333403567173;0.00013735169771328452;37002.62652952341;0.32363907646544227;0.5866177861586593;5173.637425318939;7.8133420893473e-05;7.449641827216162;0.3535550944551473;31.525769602159144;7.230386294472461;68226.844678568;0.21097975662938764;1.9117029128828726;13299.08412986539;97.18202022845053;8277.20844762061;9.75368064295676;77435.3582276015;0.027474857599033856;0.0005620175303863832;0.2973544125872058;2573.418363932729;4.76854843404722e-05
dicom_data/497;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};25568ee6ceaa0e05c527baaf9aa0adbfc28423d8;3D;(0.148, 0.148, 1.0);(1216, 1562, 1);24383.526152052866;256.0;65280.0;4db46e68588ea101ad0daf9d6c1a19ef15d46ce2;(0.148, 0.148, 1.0);(1216, 1562, 1);(54, 50, 0, 1121, 1512, 1);412803;9;(688.7824119495256, 944.9593874075528, 0.0);(101.93979696852978, 139.8539893363178, 0.0);0.5635115712596537;0.0;0.0;211.96078739349787;135.56799999999998;217.56;252.7684023290886;252.7684023290886;8978.529914671755;119.44235634954339;0.1056455479440073;19774.38932713467;2.202408358056643;9042.036911999998;27286.0;35512.0;413118264417418.0;8.892219649186343;4353.0;24.337107442403333;65280.0;2616.748797139011;31425.144168041414;31143.0;25014.0;40266.0;1798.9488992204747;31634.849713427677;2.61253842485341;9048942463799.123;0.0024658603088697664;13224030.408967778;87081.65298150573;259.34916580387926;164808086207.8875;61316391.34140137;81112.95447329275;1835.6931194401373;0.9556811758126962;28.321341200073107;6.2456487704007895;1015.4516832120548;3.2164930720368246e-05;15.792114585436963;-0.22200893033525476;0.9895080148336138;0.04823301911982963;0.9993305536719961;0.10120058220334427;0.9830624605218536;0.04418738902237421;0.0024861434652002122;9.9328794177172;20737.161898183338;997.7258840224156;0.0024650251238319447;16591.186813199864;81348.76198401302;1.108223788409077;228710.80915820028;0.0005697028818244458;0.0005442981425301068;9.015813252468854;391073.05887969607;0.9661723818068143;0.9804991727288803;0.06799837320145309;0.9869727344633595;79734.78459253829;0.0005380587272352546;941.7747413452131;0.002450649346715066;15761.509808644645;80741.093693403;3.4207095572163126;5788524.420756396;0.0006577552445454663;0.000547156634922299;338176.0543903658;0.8799884838519416;0.951299419970232;77174.18891399508;0.0005222694034920051;9.263378006998018;0.930942846830086;2.266847316840703;9.477293170301419;319183.0936039709;0.7732092392835588;0.2810957618765347;1017.9145330823661;21160.772430925666;87480.02085982902;1.6174470631269637;603941.7900184834;0.0007452143525957886;0.0005419071712632343;0.9016650323105512;73180.887508079;0.0004942306064193713
dicom_data/498;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};4c374a4efdbb30d534c8220f394f386544d56e8d;3D;(0.143, 0.143, 1.0);(1414, 1414, 1);1374.434423195805;0.0;4095.0;fa704039dc6e667d3d93eca9eca4852179f677d3;(0.143, 0.143, 1.0);(1414, 1414, 1);(197, 97, 0, 1020, 1317, 1);483292;18;(735.693951068919, 729.0715757761353, 0.0);(105.2042350028554, 104.25723533598735, 0.0);0.8200702054867763;0.0;0.0;183.75437023313523;145.86;187.18699999999998;215.60549656258763;215.60549656258763;9771.264955816521;150.69148415618037;0.09536784444785788;23176.58001859511;2.3719119401013513;9882.838107999998;1762.0;2514.0;2205291917937.0;5.294097196663855;479.0;3.5550032041274764;4095.0;250.24954069214172;2116.3170236627134;2107.0;0.0;4095.0;200.80633597514668;2136.1327566974737;0.5241417803752565;45096014429.8937;0.028620060328957073;84265.40959134337;7400.396281310315;85.25665309335574;945389.2276226755;5974.067122241498;531.8508298654058;5.053632887901858;0.9811693655875645;1.535012011934499;2.299078636539208;2.668805032511663;0.005191242468754355;8.221615896380865;-0.4481049538325132;0.9954943279263553;0.4723887368928343;0.9998190853670439;0.5271040413967713;0.9908149294492183;0.4350318253160658;0.01793837922588031;6.262840262204089;134.2261156883269;10163.527952305205;0.027247080751657323;130.3435500510488;7529.765238638085;2.126735851471227;15432.945672255426;0.00032705606852363836;0.00015043007693471192;6.306385064674304;239006.28291415508;0.6398558388733009;0.7718128998617813;0.4435360804189067;0.8275879008288552;6321.350689020775;0.00012406499615855827;4424.226074992598;0.025683868144647813;120.85592908579378;7996.704609972308;121.22558734913531;648117.8867273899;0.023781497117824967;0.0001506019472184645;57564.69047411716;0.3341791072299945;0.5964770468857937;4845.760010982437;9.547833429232345e-05;7.680460996762052;0.3564242735240807;113.35394318227918;7.616824740658733;99535.45540170332;0.20595303750466243;2.0434501258412188;13831.846196502322;134.85170003547634;7389.222010709881;10.026882298900043;68653.1676377842;0.0015866708805613201;0.00015159575251846643;0.3003844361000397;2378.721741296099;4.669952401975938e-05
dicom_data/499;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};f4416c6f8fd38a2ad21e94692b66143dd320b8d3;3D;(0.143, 0.143, 1.0);(1152, 1152, 1);1738.1239300009645;0.0;4095.0;02b811b30457a6828db498d955e3e8432d4aa966;(0.143, 0.143, 1.0);(1152, 1152, 1);(131, 0, 0, 889, 1152, 1);306830;18;(544.976449499723, 568.4684874360395, 0.0);(77.93163227846038, 81.29099370335364, 0.0);0.8360432640364134;0.0;0.0;165.47799453382746;127.127;164.736;207.9100502068142;207.9100502068142;6188.612084433677;138.34676267626088;0.10722854015557662;15202.064532479466;2.4564578172087215;6274.3666699999985;2137.0;2727.0;1780542920698.0;4.9419932173012775;382.0;4.471099475113011;4095.0;199.8752835657768;2397.5736987908613;2327.0;0.0;4095.0;156.3197658529319;2408.9473794112137;0.8207128259311698;36410322185.35339;0.03828514769680128;54667.83563846184;9394.713555573;96.48881274781888;481673.7296334386;5009.121517544092;344.1820427429571;5.691939860028996;0.9674615351059066;1.5572809956953613;2.279880790933756;3.24599974470544;0.006608472752933178;7.883853377287023;-0.40709438482861676;0.9908573056025233;0.45853474960851215;0.9998002707110096;0.5168457327981428;0.9906938419522522;0.43082508762662153;0.021585092722759075;5.8925646656341435;87.46849565074639;8791.058989696048;0.03644345049240517;85.7537392434516;9464.394087380579;2.0018318875185974;18672.43703059941;0.00023617555585201953;0.00012187461576495586;5.917587272658592;158100.3014903873;0.6548298019528184;0.786194309552521;0.3813383429129583;0.8367340310212117;7973.005518179462;0.0001033862401543062;3672.46080452941;0.03208734495272612;86.990577596205;9767.609705378674;31.21385384265893;268384.10712787893;0.003840680692089631;0.00013225710333589284;37770.30091217279;0.3300099684773773;0.5926006113292916;5854.44132781954;8.835351285783381e-05;7.404590500896409;0.37301437277971516;24.026833605245073;7.228214237744593;67131.68223446207;0.21879112940215129;1.7822469188049623;11747.031867809535;87.5323530895764;9384.771355473715;9.128761855098915;82798.62477267542;0.0010556936956635239;0.00012018832898747421;0.3115510198395187;3031.1712588468918;4.29579574422026e-05
dicom_data/500;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};3d8898e087bbf56d590d585631a62b46fb719fc2;3D;(0.148, 0.148, 1.0);(1045, 1176, 1);24922.036838850374;512.0;65280.0;ef5e622115ab52a302214805087f0d2aeab1854d;(0.148, 0.148, 1.0);(1045, 1176, 1);(68, 65, 0, 854, 1111, 1);305010;4;(541.711314383135, 678.1944788695453, 0.0);(80.17327452870397, 100.3727828726927, 0.0);0.573718244831559;0.0;0.0;167.84492891519483;112.184;164.42799999999997;189.47520454138584;189.47520454138584;6634.332804000852;96.29569802110336;0.11694286036973142;14600.752793953696;2.2007869103504536;6680.939039999999;26374.0;33960.0;284140972993983.0;8.71443899500542;4033.0;27.26636656723362;65280.0;2354.0656542104675;30353.708458739056;30295.0;24838.0;40442.0;1673.5779159064082;30521.782450256713;2.496987649979498;6223823872460.202;0.0027554450901306716;10231586.74267164;65246.75439107802;223.1716388251385;110152116657.93343;39578191.16650135;63242.59405564204;1478.9489950120947;0.9542548990527454;23.42122500923753;5.96995451160539;916.8423523689411;4.061509172079919e-05;15.287637662734;-0.24467854418448293;0.9923855243892622;0.05927960456227882;0.99947613213128;0.11950264152039523;0.9860266520926991;0.056339828835774416;0.0015959739606749663;9.761437857562221;16180.385762663698;820.3939741036204;0.0027522597805230073;13286.275798709345;61728.39556814874;1.097214323074944;145350.37726146862;0.0003808577425727922;0.00036117695100781097;8.861434918564903;285721.0026328226;0.958505166921932;0.9772802531064555;0.050121369557051994;0.9839762401418539;60481.492181325535;0.00035647873232054044;762.8630663242311;0.002728740498931312;12819.886356254869;61984.00124478656;2.3357990599715275;2802619.264323988;0.0004528666614334035;0.0003656060751978143;239140.50301538812;0.8553990936501153;0.940347962114702;59029.28930463376;0.000347952465671464;9.152406255760596;0.9165797842693683;1.1454907893031778;9.384662741309977;223831.7828923642;0.7338506373311177;0.2648034535711139;840.4383069407561;16371.880091362953;65507.99701649126;1.6613553653978559;403563.3594308383;0.0005203447419786625;0.00035924219075824564;0.8814744798792227;55153.493751099806;0.00032469447672444415
dicom_data/501;v3.0.1;1.19.5;2.1.1.2;1.1.1;3.6.15;{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None};{'Original': {}};f8189add54bb9fb72dd582b99d5ceec1db455c0b;3D;(0.148, 0.148, 1.0);(822, 1202, 1);23610.72919323431;0.0;65280.0;aa5ad78fc18918782deddaddfde3c2686fdce3c8;(0.148, 0.148, 1.0);(822, 1202, 1);(95, 55, 0, 630, 1147, 1);219746;5;(456.5408608120284, 714.6963130159365, 0.0);(67.5680474001802, 105.7750543263586, 0.0);0.4581300422915704;0.0;0.0;161.123232443814;85.83999999999999;151.99599999999998;185.72024596149984;185.72024596149984;4771.289909332253;73.81539329363903;0.12768766475216003;10733.937212077059;2.2496929375602086;4813.316383999999;25574.0;33080.0;191891185053854.0;8.719781134105267;3569.0;33.21085986234772;65280.0;2336.096027566809;29350.46215175703;29031.0;23653.0;41627.0;1528.6469009098626;29550.64898773379;3.3980929853438964;4203184517419.617;0.002904590322767008;11791227.074530212;70916.5052899754;230.08622003572276;180758066615.88303;67857049.09219554;73283.90484101573;1377.8447525208614;0.9630530832245634;22.17384739478682;5.883310852153383;872.62144511615;4.8143390197863024e-05;15.168198701070153;-0.2592818315417719;0.994085929467202;0.06327787453205211;0.9995301319336694;0.12530203438295331;0.9871282919400604;0.059802427452020995;0.0022964975184801358;9.766833501737935;18665.437398384383;621.5632712600105;0.0028993928420679945;14172.290299308654;65144.16892568563;1.1147714412886323;193289.54682959444;0.00017212340602568686;0.00016287350314490178;8.87241696203061;205065.5455702094;0.956521058051585;0.9755672458201742;0.06397464924318125;0.9831630182078774;63508.67568594579;0.00016072904726282497;574.8069093521734;0.0028679544832563636;13434.823516613844;64881.92388137149;2.862551391050972;4381029.221909552;0.00020743459949067975;0.00016538432801885494;170398.5032730611;0.8501901133250565;0.9379570486291169;61417.92477252198;0.00015779293552394577;9.173698731113001;0.9120712094873171;1.66044610729608;9.410758037499905;158996.73595878878;0.7235478050057284;0.31378279804749565;638.2721050667589;18868.226715660647;71097.43783277056;1.7429122714406633;576720.4362127184;0.00023861656753263664;0.00016179602244761006;0.8758823103619998;57292.83099013474;0.00014645691016444346
